h_s:  2 , h_r:  16
領域数:  550
h_s:  2 , h_r:  64
領域数:  681
h_s:  2 , h_r:  32
領域数:  617
h_s:  2 , h_r:  128
領域数:  797
h_s:  4 , h_r:  128
領域数:  643
h_s:  2 , h_r:  8
領域数:  501
h_s:  4 , h_r:  8
領域数:  347
h_s:  6 , h_r:  16
領域数:  224
h_s:  4 , h_r:  64
領域数:  426
h_s:  4 , h_r:  16
領域数:  327
h_s:  4 , h_r:  32
領域数:  315
h_s:  6 , h_r:  64
領域数:  224
h_s:  6 , h_r:  128
領域数:  436
h_s:  6 , h_r:  8
領域数:  273
h_s:  6 , h_r:  32
領域数:  188
h_s:  8 , h_r:  8
領域数:  188
h_s:  8 , h_r:  128
領域数:  298
h_s:  8 , h_r:  32
領域数:  94
h_s:  8 , h_r:  64
領域数:  143
h_s:  8 , h_r:  16
領域数:  170
h_s:  10 , h_r:  8
領域数:  150
h_s:  12 , h_r:  8
領域数:  102
h_s:  10 , h_r:  128
領域数:  190
h_s:  10 , h_r:  16
領域数:  99
h_s:  10 , h_r:  32
領域数:  84
h_s:  14 , h_r:  8
領域数:  80
h_s:  12 , h_r:  32
領域数:  58
h_s:  12 , h_r:  16
領域数:  77
h_s:  12 , h_r:  128
領域数:  117
h_s:  10 , h_r:  64
領域数:  73
h_s:  16 , h_r:  8
領域数:  75
h_s:  14 , h_r:  16
領域数:  53
h_s:  14 , h_r:  32
領域数:  47
h_s:  14 , h_r:  128
領域数:  52
h_s:  16 , h_r:  32
領域数:  82
h_s:  12 , h_r:  64
領域数:  35
h_s:  16 , h_r:  16
領域数:  56
h_s:  14 , h_r:  64
領域数:  45
h_s:  16 , h_r:  128
領域数:  4
h_s:  16 , h_r:  64
領域数:  9
