h_s:  5 , h_r:  32
領域数:  269
h_s:  5 , h_r:  24
領域数:  287
h_s:  6 , h_r:  96
領域数:  205
h_s:  5 , h_r:  128
領域数:  259
h_s:  6 , h_r:  64
領域数:  205
h_s:  5 , h_r:  64
領域数:  259
h_s:  6 , h_r:  128
領域数:  205
h_s:  6 , h_r:  24
領域数:  234
h_s:  5 , h_r:  48
領域数:  259
h_s:  5 , h_r:  96
領域数:  259
h_s:  5 , h_r:  16
領域数:  246
h_s:  6 , h_r:  48
領域数:  205
h_s:  6 , h_r:  16
領域数:  197
h_s:  7 , h_r:  24
領域数:  180
h_s:  7 , h_r:  16
領域数:  153
h_s:  7 , h_r:  96
領域数:  161
h_s:  7 , h_r:  48
領域数:  161
h_s:  6 , h_r:  32
領域数:  215
h_s:  7 , h_r:  32
領域数:  170
h_s:  8 , h_r:  48
領域数:  118
h_s:  8 , h_r:  16
領域数:  117
h_s:  7 , h_r:  128
領域数:  161
h_s:  7 , h_r:  64
領域数:  161
h_s:  8 , h_r:  64
領域数:  118
h_s:  8 , h_r:  24
領域数:  145
h_s:  8 , h_r:  32
領域数:  129
h_s:  8 , h_r:  128
領域数:  118
h_s:  8 , h_r:  96
領域数:  118
h_s:  9 , h_r:  24
領域数:  96
h_s:  9 , h_r:  96
領域数:  80
h_s:  9 , h_r:  32
領域数:  90
h_s:  9 , h_r:  48
領域数:  80
h_s:  9 , h_r:  128
領域数:  80
h_s:  10 , h_r:  32
領域数:  56
h_s:  10 , h_r:  24
領域数:  57
h_s:  10 , h_r:  64
領域数:  49
h_s:  9 , h_r:  64
領域数:  80
h_s:  10 , h_r:  16
領域数:  53
h_s:  9 , h_r:  16
領域数:  74
h_s:  10 , h_r:  128
領域数:  49
h_s:  10 , h_r:  96
領域数:  49
h_s:  10 , h_r:  48
領域数:  49
h_s:  13 , h_r:  128
領域数:  1
h_s:  11 , h_r:  96
領域数:  24
h_s:  11 , h_r:  128
領域数:  24
h_s:  11 , h_r:  24
領域数:  26
h_s:  11 , h_r:  16
領域数:  26
h_s:  13 , h_r:  96
領域数:  1
h_s:  13 , h_r:  32
領域数:  1
h_s:  11 , h_r:  64
領域数:  24
h_s:  13 , h_r:  48
領域数:  1
h_s:  13 , h_r:  24
領域数:  1
h_s:  11 , h_r:  32
領域数:  27
h_s:  13 , h_r:  64
領域数:  1
h_s:  11 , h_r:  48
領域数:  24
h_s:  12 , h_r:  64
領域数:  9
h_s:  12 , h_r:  48
領域数:  9
h_s:  12 , h_r:  128
領域数:  9
h_s:  12 , h_r:  96
領域数:  9
h_s:  12 , h_r:  16
領域数:  10
h_s:  12 , h_r:  32
領域数:  9
h_s:  13 , h_r:  16
領域数:  1
h_s:  12 , h_r:  24
領域数:  9
h_s:  13 , h_r:  1
領域数:  66
h_s:  13 , h_r:  2
領域数:  68
h_s:  13 , h_r:  3
領域数:  61
h_s:  13 , h_r:  4
領域数:  23
h_s:  13 , h_r:  13
領域数:  1
h_s:  13 , h_r:  7
領域数:  9
h_s:  13 , h_r:  10
領域数:  2
h_s:  13 , h_r:  12
領域数:  1
h_s:  13 , h_r:  15
領域数:  1
h_s:  13 , h_r:  14
領域数:  1
h_s:  13 , h_r:  6
領域数:  11
h_s:  13 , h_r:  5
領域数:  12
h_s:  13 , h_r:  11
領域数:  1
h_s:  13 , h_r:  8
領域数:  3
h_s:  13 , h_r:  9
領域数:  2
